,Job Title,Company,Location,Experience,Salary,Link
543,PhD Data Scientist,Luein Analytics Research And Consulting,Remote,5-10 Yrs,20-35 Lacs PA,https://www.naukri.com/job-listings-phd-data-scientist-luein-analytics-research-and-consulting-bengaluru-5-to-10-years-181125039089
544,Data Scientist - Machine Learning,Citiustech,"Hybrid - Pune, Chennai, Mumbai (All Areas)",6-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-machine-learning-citiustech-pune-chennai-mumbai-all-areas-6-to-8-years-181125029267
545,Data Scientist,Ltimindtree,"Hybrid - Chennai, Coimbatore, Bengaluru",6-11 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-ltimindtree-chennai-coimbatore-bengaluru-6-to-11-years-181125018229
546,Data Scientist IV,Meesho,Bengaluru,6-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-iv-fashnear-technologies-pvt-ltd-bengaluru-6-to-8-years-171125927435
547,Data Scientist III,Meesho,Bengaluru,4-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-iii-fashnear-technologies-pvt-ltd-bengaluru-4-to-7-years-171125927434
548,Data Engineer,Incedo,Chennai,4-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-engineer-incedo-technology-solutions-ltd-chennai-4-to-6-years-171125925700
549,Data Scientist - Machine Learning,Leading Client,Bengaluru,4-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-machine-learning-zorba-consulting-bengaluru-4-to-5-years-171125924291
550,Data Scientist,Incedo,Chennai,4-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-incedo-technology-solutions-ltd-chennai-4-to-6-years-171125912641
551,Data Scientist - Machine Learning,Leading Client,Noida,4-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-machine-learning-zorba-consulting-noida-4-to-5-years-171125907877
552,Data Scientist,Hero Fincorp,Gurugram,1-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-hero-fincorp-gurugram-1-to-4-years-171125016051
553,Data Scientist,Capgemini,"Hybrid - Chennai, Coimbatore",4-9 Yrs,10-20 Lacs PA,https://www.naukri.com/job-listings-data-scientist-capgemini-chennai-coimbatore-4-to-9-years-171125015057
554,Data Scientist : Machine Learning,Dsights,Bengaluru(Whitefield),1-3 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-machine-learning-dsights-bengaluru-1-to-3-years-161125004163
555,Data Scientist,Leading Client,Noida,4-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-zorba-consulting-noida-4-to-5-years-141125917795
556,Data Scientist - Machine Learning,Leading Client,Chennai,4-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-machine-learning-zorba-consulting-chennai-4-to-5-years-141125916845
557,Data Scientist - Machine Learning,Leading Client,Delhi / NCR,4-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-machine-learning-zorba-consulting-delhi-ncr-4-to-5-years-141125913094
558,Data Scientist,Polestar,"Noida, Kolkata, Bengaluru",3-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-polestar-noida-kolkata-bengaluru-3-to-8-years-141125016767
559,Urgent Hiring For Data Scientist Role For  Bangalore location.,Tech Mahindra,"Hybrid - Bangalore Rural, Bengaluru",5-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-urgent-hiring-for-data-scientist-role-for-bangalore-location-metrixit-solutions-bangalore-rural-bengaluru-5-to-10-years-141125012614
560,Data Scientist,EXL,"Hybrid - Pune, Bengaluru, Delhi / NCR",5-8 Yrs,14-24 Lacs PA,https://www.naukri.com/job-listings-data-scientist-exl-pune-bengaluru-delhi-ncr-5-to-8-years-141125006510
561,Data Scientist - Microsoft stack - GenAI,Ltimindtree,Hybrid - Bengaluru,8-12 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-microsoft-stack-genai-ltimindtree-bengaluru-8-to-12-years-141125000213
562,Data Scientist and azure - Pan India location,Ltimindtree,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",7-12 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-and-azure-pan-india-location-ltimindtree-pune-bengaluru-mumbai-all-areas-7-to-12-years-141125000163
563,Data Engineer,Incedo,Chennai,4-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-engineer-incedo-technology-solutions-ltd-chennai-4-to-6-years-131125928690
564,Data Engineer 4,Incedo,Chennai,4-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-engineer-4-incedo-technology-solutions-ltd-chennai-4-to-6-years-131125925579
565,Data Scientist,Sriram,New Delhi(Netaji Subhash Place),4-9 Yrs,7-11 Lacs PA,https://www.naukri.com/job-listings-data-scientist-prominent-management-solutions-new-delhi-4-to-9-years-131125034522
566,AI - ML Engineer / Data Scientist,Topia Life Sciences,Vadodara,3-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-ai-ml-engineer-data-scientist-topia-life-sciences-vadodara-3-to-7-years-131125033699
567,Data Scientist,Windows Consultant,Gurugram,3-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-windows-consultants-gurugram-3-to-8-years-131125028114
568,Post Graduate Data Scientist,University Of Southampton,Chandigarh,1-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-post-graduate-data-scientist-cyber-security-academy-southampton-chandigarh-1-to-4-years-131025500541
569,Founding AI Data Scientist,Fabric,Bengaluru,3-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-founding-ai-data-scientist-fabric-bengaluru-3-to-8-years-131025500028
570,Data Scientist,Big 4,Hybrid - Bengaluru,4-9 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-anlage-infotech-bengaluru-4-to-9-years-131025023871
571,Data Scientist,Leading Client,Uttar Pradesh,3-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-growel-softech-pvt-ltd-uttar-pradesh-3-to-7-years-121125925308
572,Data Engineer,Leading Client,India,2-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-engineer-growel-softech-pvt-ltd-india-2-to-5-years-121125923895
573,Data scientists,Leading Client,andrapradesh,3-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientists-growel-softech-pvt-ltd-andrapradesh-3-to-7-years-121125921777
574,IN | Data scientists,Leading Client,Andhra Pradesh,3-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-in-data-scientists-growel-softech-pvt-ltd-andhra-pradesh-3-to-7-years-121125921625
575,Data engineer,Leading Client,Bengaluru,3-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-engineer-growel-softech-pvt-ltd-bengaluru-3-to-5-years-121125920618
576,Data Scientist,Leading Client,"Pune, Bengaluru",4-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-zorba-consulting-pune-bengaluru-4-to-6-years-121125914731
577,Data Scientist - Python/R,Leading Client,Bengaluru,3-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-python-r-zorba-consulting-bengaluru-3-to-5-years-121125911104
578,Data Scientist - LLM Engineering,Leading Client,"Hybrid - Pune, Bengaluru",4-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-llm-engineering-zorba-consulting-pune-bengaluru-4-to-6-years-121125911103
579,Data Scientist,UST,"Pune, Thiruvananthapuram",5-9 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-ust-pune-thiruvananthapuram-5-to-9-years-121125033491
580,Data Scientists (GenAI/Agentic),Skill On Tap,Hybrid - Bengaluru,3-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientists-genai-agentic-skill-on-tap-bengaluru-3-to-5-years-111125042934
581,Data Scientist,Everestek Technosoft Solutions,Remote,4-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-everestek-technosoft-solutions-mumbai-all-areas-4-to-5-years-111125032369
582,Data Scientist (AI/ML),General Mills,Hybrid - Mumbai,10-17 Yrs,45-55 Lacs PA,https://www.naukri.com/job-listings-data-scientist-ai-ml-general-mills-mumbai-10-to-17-years-111125022366
583,Data Scientist,eClerx,"Hybrid - Mumbai, Chandigarh, Pune",6-11 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-eclerx-mumbai-chandigarh-pune-6-to-11-years-111125016685
584,Data Scientist,eClerx,"Hybrid - Mumbai, Pune",4-9 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-eclerx-mumbai-pune-4-to-9-years-111125016530
585,Data Scientist-Artificial Intelligence,IBM,Pune,3-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-pune-3-to-7-years-101125927492
586,Data Scientist-Artificial Intelligence,IBM,Bengaluru,3-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-101125926961
587,Data Scientist,Isocrates,"Mysuru, Bengaluru",4-9 Yrs,22.5-37.5 Lacs PA,https://www.naukri.com/job-listings-data-scientist-isocrates-mysuru-bengaluru-4-to-9-years-101125031391
588,Data Scientist + Subject Matter Expert - AI/ML,Newton School,Pune,1-3 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-subject-matter-expert-ai-ml-newton-school-pune-1-to-3-years-091025500803
589,"Product Data Scientist, Google Play Games",Google,Bengaluru,5-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-product-data-scientist-google-play-games-google-india-private-limited-bengaluru-5-to-10-years-090725503398
590,"Data Scientist, Google Play, Product",Google,Bengaluru,5-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-google-play-product-google-india-private-limited-bengaluru-5-to-10-years-090725503328
591,Data Scientist -Generative AI,Philips,Bengaluru,7-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-generative-ai-philips-india-limited-bengaluru-7-to-10-years-071125501283
592,Data Scientist,Analytics Vidhya,Gurugram,3-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-analytics-vidhya-educon-pvt-ltd-gurugram-3-to-8-years-071025501365
593,Data Scientist,Capgemini,Hybrid - Bengaluru,6-11 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-capgemini-bengaluru-6-to-11-years-051125020536
594,Data Scientist,Top MNC,Chennai(Velachery),3-5 Yrs,10-18 Lacs PA,https://www.naukri.com/job-listings-data-scientist-live-connections-chennai-3-to-5-years-021225026186
595,Data Scientist,Action TESA,New Delhi(Peeragarhi),3-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-action-tesa-new-delhi-3-to-5-years-011225004914
596,Data Scientist,AIE Group,Bengaluru,5-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-ai-enterprise-bengaluru-5-to-10-years-310323501543
597,Industrial Data Scientist,Exxon Mobil Corporation,Bengaluru,3-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-industrial-data-scientist-exxon-mobil-corporation-bengaluru-3-to-8-years-301224503361
598,Analyst,Specialist Advisory Intervention Group (SAIG),Mumbai,0-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-analyst-specialist-advisory-intervention-group-saig-mumbai-0-to-4-years-301025504840
599,Data Engineer,Digicodes,Remote,1-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-engineer-digicodes-private-limited-remote-1-to-4-years-291222501557
600,Data Scientist,Technum Opus,Gurugram,3-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-technum-opus-gurugram-3-to-8-years-291025502498
601,Data Scientist - Machine Learning,Rpa Infotech,Gurugram,2-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-machine-learning-rpa-infotech-pvt-ltd-gurugram-2-to-7-years-291020500643
602,Data Scientist,Bluphlux,Pune,3-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-bluphlux-pune-3-to-7-years-290925502227
603,AI & Data Engineer,Odin Ai,Remote,6-11 Yrs,Not Disclosed,https://www.naukri.com/job-listings-ai-data-engineer-odin-ai-remote-6-to-11-years-290525500403
604,Data Scientist,Pegasus Knowledge Solutions (PKSI),Bengaluru,8-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-pegasus-knowledge-solutions-india-private-limited-bengaluru-8-to-10-years-290121501231
605,Data Scientist (Machine Learning / AI),Som Imaging Informatics,Kolkata,5-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-machine-learning-ai-som-imaging-informatics-pvt-ltd-kolkata-5-to-8-years-280923501408
606,Data Scientist,the modern dimension,"New Delhi, Bengaluru",2-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-the-modern-dimension-new-delhi-bengaluru-2-to-7-years-280821500874
607,Data Scientist,Diverse Lynx,Bengaluru,4-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-diverse-lynx-bengaluru-4-to-5-years-280625500948
608,Data Engineer,Caratlane,Pune,3-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-engineer-caratlane-a-tata-product-pune-3-to-6-years-280425506321
609,Industrial Data Scientist,Exxon Mobil Corporation,Bengaluru,3-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-industrial-data-scientist-exxon-mobil-corporation-bengaluru-3-to-8-years-280425505519
610,Data Scientist,Brainwonders,Mumbai,2-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-brainwonders-mumbai-2-to-8-years-280425503527
611,Data Scientist,Everestek Technosoft Solutions,"Mumbai, Indore, Surat",3-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-everestek-llc-mumbai-indore-surat-3-to-7-years-280425500085
612,AEP Data Engineer,Codilar,"Noida, Bengaluru",6-9 Yrs,Not Disclosed,https://www.naukri.com/job-listings-aep-data-engineer-codilar-technologies-pvt-ltd-noida-bengaluru-6-to-9-years-270325503302
613,Agricultural Data Scientist,Agricps,Hybrid - Hybrid,3-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-agricultural-data-scientist-agricps-hybrid-3-to-7-years-260825503716
614,Data Scientist,Algoritt Consulting,Gurugram,5-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-algoritt-consulting-gurugram-5-to-10-years-260725500569
615,Data Scientist,SK International,Mumbai,2-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-sk-international-mumbai-2-to-4-years-260624502765
616,DATA SCIENTIST,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,Bengaluru,2-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-tata-industries-limited-tata-insights-and-quants-divison-bengaluru-2-to-7-years-260224502276
617,Data Scientist,Ennoventure Technologies,Bengaluru,4-9 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-ennoventure-inc-bengaluru-4-to-9-years-250725502573
618,Data Scientist - 3 (L7),Navi Technologies,Bengaluru,5-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-3-l7-navi-technologies-private-limited-bengaluru-5-to-10-years-250625502921
619,Data Scientist,Valuenable,Mumbai,8-13 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-valuenable-mumbai-8-to-13-years-250225504395
620,Data Scientist,Cognitivecare,Remote,3-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-cognitivecare-india-labs-llp-remote-3-to-6-years-241224507408
621,Data Scientist,Retransform,Mumbai,3-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-retransform-mumbai-3-to-4-years-240925506318
622,Data Scientist IV,Meesho,Bengaluru,6-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-iv-meesho-bengaluru-6-to-8-years-230525501224
623,Data Engineer,Thoughtspark Services,Surat,2-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-engineer-thoughtspark-surat-2-to-5-years-230424501357
624,Data Scientist - APM,John Crane Sealing Systems India,Pune,10-15 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-apm-john-crane-sealing-systems-india-pvt-ltd-pune-10-to-15-years-230125505550
625,Data Engineer,Catax,Bhilai,1-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-engineer-catax-bhilai-1-to-4-years-230124500092
626,Data Scientist,CTD Techs,"Chennai, Bengaluru",2-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-ctd-techs-chennai-bengaluru-2-to-6-years-220722500106
627,Data Scientist,Anheuser Busch InBev,Nashik,8-13 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-abinbev-india-private-limited-nashik-8-to-13-years-220525504971
628,Data Engineers,Prama,Ahmedabad,3-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-engineers-prama-india-ahmedabad-3-to-8-years-220324501370
629,Data Scientist Fraud AI Products,PayU,Gurugram,3-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-fraud-ai-products-payu-india-gurugram-3-to-8-years-211125503299
630,DATA SCIENTIST - DATA SCIENTIST,Happiest Minds Technologies,Bengaluru,2-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-data-scientist-happiest-minds-technologies-bengaluru-2-to-5-years-211125021323
631,Data Scientist,Pocket Fm,Remote,2-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-pocketfm-remote-2-to-7-years-210922500008
632,Data Scientist - Cs Soft Solutions,Cs Soft Solutions,Mohali,3-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-cs-soft-solutions-cs-software-solutions-pvt-ltd-mohali-3-to-8-years-210225503629
633,Data Engineer,Accenture,Bengaluru,3-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-engineer-accenture-solutions-pvt-ltd-bengaluru-3-to-8-years-191125921232
634,Data Engineer,Accenture,Bengaluru,3-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-engineer-accenture-solutions-pvt-ltd-bengaluru-3-to-8-years-191125920798
635,Data Scientist (End-to-End Machine Learning) - Factspan Analytics,Factspan Analytics,Hybrid - Bengaluru,6-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-end-to-end-machine-learning-factspan-analytics-factspan-analytics-bengaluru-6-to-10-years-191125034690
636,Data Scientist,Swiss Re,Bengaluru,8-13 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-swiss-re-bengaluru-8-to-13-years-190525504612
637,Data Scientist-Artificial Intelligence,IBM,Bengaluru,3-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-181125924350
638,AI/ML Data Scientist,Velocitai Digital,Gurugram,10-15 Yrs,Not Disclosed,https://www.naukri.com/job-listings-ai-ml-data-scientist-velocitai-digital-gurugram-10-to-15-years-181125504399
639,Data Scientist (Remote),Crossing Hurdles,Remote,1-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-remote-crossing-hurdles-gurugram-1-to-6-years-181125034781
640,Data Scientist -1,Yucollect,Chennai,1-3 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-1-yucollect-chennai-1-to-3-years-180825503888
641,Data Scientist level III,Conde Nast India,Bengaluru,5-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-level-iii-conde-nast-india-bengaluru-5-to-10-years-171025500397
642,Data Scientist,Designnex Technologies,Noida,10-15 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-designnex-technologies-noida-10-to-15-years-170925501384
643,Data Scientist,Gforce Consulting Solutions,Bengaluru,3-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-gforce-consulting-solutions-bengaluru-3-to-8-years-170523501111
644,Data Scientist,Gforce Consulting Solutions,"Kolkata, Pune, Gurugram",3-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-gforce-consulting-solutions-kolkata-pune-gurugram-3-to-8-years-170523501110
645,Data Scientists,Deeptek,Pune,3-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientists-deeptek-pune-3-to-7-years-160922502456
646,Intermediate Data Engineer,Tech Stalwart Solution,Bengaluru,3-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-intermediate-data-engineer-tech-stalwart-solution-private-limited-bengaluru-3-to-7-years-150525501081
647,Data Scientist,Bluphlux,Pune,3-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-bluphlux-pune-3-to-7-years-141125500320
648,Data Scientist,Dewii,Gurugram,2-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-dewii-gurugram-2-to-7-years-140625500426
649,Data Scientist,Ekaa Analytics,New Delhi,3-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-ekaa-analytics-private-limited-new-delhi-3-to-6-years-131224501622
650,Data Scientist,MNCS,Bengaluru,9-12 Yrs,20-32.5 Lacs PA,https://www.naukri.com/job-listings-data-scientist-orcapod-consulting-services-bengaluru-9-to-12-years-131125033611
651,Data Scientist Lead - AI/ML,Talent Socio,Bengaluru,7-12 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-lead-ai-ml-talent-socio-bengaluru-7-to-12-years-130423501957
652,Data Scientist III-1,Walmart,Chennai,3-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-iii-1-walmart-labs-chennai-3-to-5-years-121125500773
653,Data Scientist,Procdna Analytics,Pune,3-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-procdna-analytics-pune-3-to-4-years-121125018860
654,Data Scientist,Ascent Consulting Services,Bengaluru,3-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-ascent-consulting-services-pvt-ltd-bengaluru-3-to-8-years-120525502013
655,Data Engineer - India GDC (Gurugram),Environmental Resources Management (ERM),New Delhi,3-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-engineer-india-gdc-gurugram-erm-india-private-limited-new-delhi-3-to-6-years-120525500117
656,Data Scientist,Innovaccer,Noida,1-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-innovaccer-analytics-private-limited-noida-1-to-5-years-101125919627
657,Data Scientist - Python,Hexaware Technologies,"Hybrid - Pune, Chennai, Bengaluru",6-9 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-python-hexaware-technologies-pune-chennai-bengaluru-6-to-9-years-101125033165
658,Data Scientist (Gen AI),Newbie Soft Solutions,PAN India,6-11 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-gen-ai-newbie-soft-solutions-pan-india-6-to-11-years-101125031528
659,Data Scientist,Innovationm,"Noida, Greater Noida, Delhi / NCR",3-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-innovationm-noida-greater-noida-delhi-ncr-3-to-6-years-101125010174
660,Data Scientist - L1,EdgeVerve Systems,Hybrid - Chennai,4-9 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-l1-edgeverve-systems-chennai-4-to-9-years-101125008768
661,Data Engineer,Stratlytics,Bhubaneswar,2-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-engineer-stratlytics-consulting-private-limited-bhubaneswar-2-to-5-years-101024501435
662,Data Scientist,AIE Group,Bengaluru,3-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-ai-enterprise-bengaluru-3-to-8-years-100424500435
663,Data Scientist I - Newton,Affle,Gurugram,2-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-i-newton-affle-gurugram-2-to-5-years-090625500475
664,Hiring Data Scientist - ASR & NLP Specialist,job Store Consulting,Remote,10-12 Yrs,Not Disclosed,https://www.naukri.com/job-listings-hiring-data-scientist-asr-nlp-specialist-store-consulting-remote-10-to-12-years-090125505696
665,Data Scientist LLM,Bluphlux,Pune,2-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-llm-bluphlux-pune-2-to-6-years-080825503415
666,Data Scientist - Revenue Operations,Assent,Pune,3-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-revenue-operations-assent-pune-3-to-5-years-070825501588
667,Data Scientist,Nupeak It Solutions,Ahmedabad,3-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-nupeak-it-solutions-llp-ahmedabad-3-to-8-years-070425500931
668,AI - Data Scientist/ Architect,IDESLABS,Bengaluru,7-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-ai-data-scientist-architect-ideslabs-private-limited-bengaluru-7-to-10-years-061223502373
669,Data Scientist,Quarks Technosoft,Bengaluru,5-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-quarks-bengaluru-5-to-6-years-060625502558
670,Data Scientist I,Agco Corporation,Pune,3-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-i-agco-corporation-pune-3-to-7-years-060325501150
671,NLP Data Scientist,Insignia Consultancy Solutions,Remote,2-3 Yrs,Not Disclosed,https://www.naukri.com/job-listings-nlp-data-scientist-insignia-consultancy-solutions-remote-2-to-3-years-050824500748
672,Data scientist,First Soft Solutions,Chennai,5-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-first-soft-solutions-direct-chennai-5-to-10-years-050625503288
673,Data Scientist,Crafsol Technology Solutions,Mumbai,8-13 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-crafsol-technology-solutions-mumbai-8-to-13-years-040325503167
674,Data Scientist,Innov7 Lab,Bengaluru,4-9 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-innov7-lab-bengaluru-4-to-9-years-020925503444
675,AIML Data Scientist,Diverse Lynx,Chennai,3-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-aiml-data-scientist-diverse-lynx-chennai-3-to-5-years-010925501418
676,ML / Data Scientist / Gen AI Specialist,Aiqod,Pune,0-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-ml-data-scientist-gen-ai-specialist-aiqod-pune-0-to-4-years-010824500670
677,Data Engineer,Accenture,Hyderabad,2-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-engineer-accenture-solutions-pvt-ltd-hyderabad-2-to-4-years-011225926127
678,Data Engineer,Accenture,Hyderabad,2-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-engineer-accenture-solutions-pvt-ltd-hyderabad-2-to-4-years-011225926124
679,Data Analyst,Kmccorp,Remote,6-9 Yrs,"70,000-1.5 Lacs PA",https://www.naukri.com/job-listings-data-analyst-kmccorp-hyderabad-6-to-9-years-171125018233
680,Data Analyst - Python Programming,Leading Client,Remote,4-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-python-programming-zorba-consulting-hyderabad-4-to-6-years-131125914113
681,Data Analyst,Latinem,Hyderabad,3-8 Yrs,5-10 Lacs PA,https://www.naukri.com/job-listings-data-analyst-latinem-hyderabad-3-to-8-years-121125012540
682,IN | Data Analyst,Leading Client,Hyderabad,2-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-in-data-analyst-growel-softech-pvt-ltd-hyderabad-2-to-7-years-101125910486
683,Data Analyst,Saven Technologies,Hyderabad,3-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-saven-technologies-limited-hyderabad-3-to-5-years-270824501177
684,Data Analyst I,FMC,Hyderabad,3-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-i-fmc-technologies-india-pvt-ltd-hyderabad-3-to-5-years-171125927363
